site,ftyp,_TYPE_,_FREQ_,count,area,dens
1,C,0,3,42.333333333,38.0412,1.1128285473
1,O,0,3,51,27.7992,1.8345851679
10,C,0,4,151.25,68.5872,2.2052219656
152,C,0,4,122.25,68.4828,1.7851197673
152,O,0,2,122,35.0928,3.4764966033
16,C,0,3,8.6666666667,7.2576,1.1941504997
16,O,0,3,59,23.0472,2.5599639002
17,C,0,5,13.6,16.3224,0.8332108023
17,O,0,5,25,28.3824,0.8808275551
18,C,0,5,46,37.476,1.2274522361
18,O,0,5,22.8,82.1448,0.2775586525
19,O,0,4,46,29.1096,1.5802346992
20,C,0,2,24,22.5072,1.0663254425
20,O,0,3,18,409.572,0.0439483168
21,C,0,4,90.25,68.2344,1.3226466416
21,O,0,4,119.25,52.3476,2.2780414002
27,C,0,5,95.8,58.0032,1.6516330134
27,O,0,5,80.4,13.6728,5.8802878708
30,C,0,3,12.666666667,57.1968,0.2214576107
30,O,0,3,97.666666667,41.1192,2.3752083374
32,C,0,5,15.2,29.772,0.5105468225
32,O,0,4,52.75,36.0252,1.4642528008
36,C,0,4,43.25,29.4552,1.4683315679
36,O,0,4,22.75,28.1808,0.807287231
37,O,0,5,164.2,46.494,3.531638491
38,C,0,4,39.5,45.108,0.875676155
38,O,0,5,109.6,30.51,3.5922648312
39,C,0,3,37,40.6944,0.9092160101
39,O,0,3,84.333333333,39.0528,2.1594695728
4,C,0,5,95,41.598,2.2837636425
41,C,0,4,19.5,29.6136,0.6584812383
41,O,0,4,5.5,16.0848,0.34193773
43,C,0,3,61,73.8612,0.825873395
45,C,0,4,3.5,41.31,0.0847252481
45,O,0,5,214.6,36.0972,5.9450594506
46,C,0,5,34,4.7376,7.1766295171
46,O,0,5,7.4,6.6312,1.1159367837
47,C,0,4,26.25,11.9808,2.191005609
47,O,0,4,43.5,12.5208,3.4742188998
49,O,0,4,21,38.4192,0.5466016992
5,O,0,5,74,24.8508,2.9777713394
50,C,0,4,78,15.7932,4.9388344351
50,O,0,5,109.4,40.662,2.6904726772
51,O,0,5,38.6,29.5848,1.3047240475
52,C,0,4,84.5,39.0096,2.1661334646
52,O,0,4,60.5,29.4444,2.0547200826
53,C,0,5,76.6,47.34,1.6180819603
53,O,0,5,135.4,19.9908,6.7731156332
55,C,0,4,3.5,2.3148,1.5120096769
55,O,0,4,0,24.9912,0
56,C,0,2,14,11.1204,1.2589475199
56,O,0,4,67.5,15.3036,4.4107268878
59,C,0,5,9.6,18.09,0.5306799337
59,O,0,4,12.25,11.3436,1.0799040869
6,C,0,5,87,48.5352,1.7925134748
60,C,0,5,254.2,53.1108,4.7862205051
60,O,0,5,118.6,38.3976,3.0887347126
61,C,0,3,121.33333333,44.5356,2.7244122305
61,O,0,3,56,35.0064,1.5997074821
62,C,0,3,21.333333333,51.3828,0.4151843289
63,C,0,5,38.2,41.8572,0.9126267404
64,C,0,4,13.75,22.1328,0.6212499096
64,O,0,4,49.25,36.4608,1.3507657539
65,C,0,4,38.5,28.2204,1.3642613145
65,O,0,4,44.5,33.3504,1.3343168298
66,C,0,3,57,26.0532,2.1878310534
66,O,0,4,38.25,49.4316,0.7737965188
67,C,0,5,2.2,23.7636,0.0925785655
67,O,0,5,28.6,24.7212,1.1569017685
68,C,0,4,5,10.7136,0.4666965352
7,C,0,5,410.6,97.5564,4.2088473949
7,O,0,5,38.6,15.7428,2.451914526
70,C,0,4,24.5,16.8588,1.4532469689
70,O,0,4,46.75,19.7748,2.3641199911
71,C,0,4,2.5,7.7508,0.32254735
72,C,0,5,161.4,26.3988,6.1139142688
72,O,0,4,0,28.0188,0
73,C,0,5,7,23.904,0.2928380187
73,O,0,5,0.4,11.016,0.0363108206
74,C,0,5,24.8,19.2528,1.2881243248
74,O,0,5,120.8,35.4564,3.4070012748
75,C,0,5,15.8,19.7892,0.7984152972
75,O,0,5,37.2,34.4736,1.0790866054
76,C,0,5,26.4,41.58,0.6349206349
76,O,0,5,31.2,39.096,0.7980356047
77,C,0,4,23.5,30.1536,0.7793430967
77,O,0,4,18.5,20.2932,0.9116354247
78,C,0,5,65.8,41.4612,1.5870259423
78,O,0,4,4.5,10.89,0.4132231405
79,C,0,5,10,23.3964,0.4274161837
79,O,0,5,23.2,50.0688,0.4633624133
8,C,0,5,21.6,31.392,0.6880733945
8,O,0,5,34.8,33.2532,1.046515824
80,C,0,4,25.25,35.0928,0.7195208134
80,O,0,4,42.5,51.0624,0.8323149715
9,C,0,3,20.333333333,28.458,0.7145032445
9,O,0,3,16.666666667,16.5564,1.006660063
99,C,0,3,37.333333333,114.4332,0.3262456467
99,O,0,3,93.666666667,37.53,2.4957811529
