spp,site,ftyp,_TYPE_,_FREQ_,count,area,pres
B.,1,C,0,3,7,1.0567,1
B.,1,O,0,3,5.3333333333,0.7722,1
B.,10,C,0,4,7,1.9052,1
B.,152,C,0,4,13.25,1.9023,1
B.,152,O,0,2,13.5,0.9748,1
B.,16,C,0,3,0,0.2016,0
B.,16,O,0,3,3,0.6402,1
B.,17,C,0,5,1.8,0.4534,1
B.,17,O,0,5,2.2,0.7884,1
B.,18,C,0,5,5.2,1.041,1
B.,18,O,0,5,6,2.2818,1
B.,19,O,0,4,1.25,0.8086,1
B.,20,C,0,2,2.5,0.6252,1
B.,20,O,0,3,1,11.377,1
B.,21,C,0,4,4.5,1.8954,1
B.,21,O,0,4,3.25,1.4541,1
B.,27,C,0,5,5,1.6112,1
B.,27,O,0,5,4,0.3798,1
B.,30,C,0,3,2.6666666667,1.5888,1
B.,30,O,0,3,27,1.1422,1
B.,32,C,0,5,1.6,0.827,1
B.,32,O,0,4,2,1.0007,1
B.,36,C,0,4,2.75,0.8182,1
B.,36,O,0,4,1.25,0.7828,1
B.,37,O,0,5,6.4,1.2915,1
B.,38,C,0,4,1.25,1.253,1
B.,38,O,0,5,2.6,0.8475,1
B.,39,C,0,3,2.6666666667,1.1304,1
B.,39,O,0,3,1,1.0848,1
B.,4,C,0,5,12.4,1.1555,1
B.,41,C,0,4,1.5,0.8226,1
B.,41,O,0,4,0.25,0.4468,1
B.,43,C,0,3,1.3333333333,2.0517,1
B.,45,C,0,4,0.75,1.1475,1
B.,45,O,0,5,9.6,1.0027,1
B.,46,C,0,5,1.6,0.1316,1
B.,46,O,0,5,1.4,0.1842,1
B.,47,C,0,4,1,0.3328,1
B.,47,O,0,4,6.5,0.3478,1
B.,49,O,0,4,3.5,1.0672,1
B.,5,O,0,5,11.8,0.6903,1
B.,50,C,0,4,4.5,0.4387,1
B.,50,O,0,5,10.6,1.1295,1
B.,51,O,0,5,1.2,0.8218,1
B.,52,C,0,4,3.5,1.0836,1
B.,52,O,0,4,6.75,0.8179,1
B.,53,C,0,5,7.2,1.315,1
B.,53,O,0,5,10.2,0.5553,1
B.,55,C,0,4,0.5,0.0643,1
B.,55,O,0,4,0,0.6942,0
B.,56,C,0,2,0,0.3089,0
B.,56,O,0,4,4.5,0.4251,1
