"","Pentad","Median.Income","Treecov_1"
"1","2345_2915",27874,0.607576376
"2","2345_2920",27874,0.842540975
"3","2345_2925",55112,2.15023332
"4","2350_2920",27874,1.075889444
"5","2350_2925",110624,1.674099593
"6","2350_2930",221887,1.639862565
"7","2350_2940",27874,0.588355819
"8","2350_2945",14011,0.496154331
"9","2350_3015",27874,6.040862859
"10","2355_2920",27874,1.685078707
"11","2355_2925",110624,1.982200647
"12","2355_2930",110624,1.818896314
"13","2355_3010",14011,12.0587222
"14","2355_3015",27874,6.828510486
"15","2405_2855",27874,1.09012423
"16","2410_2855",27874,3.047030639
"17","2410_2900",110624,3.334215946
"18","2425_2840",27874,3.019899247
"19","2435_3010",14011,3.596257303
"20","2450_2810",27874,3.752966559
"21","2450_2815",27874,2.511934312
"22","2455_2750",27874,2.963615798
"23","2455_2815",55112,2.791623464
"24","2455_2820",27874,3.598098051
"25","2500_2755",14011,1.988851763
"26","2500_2845",14011,1.508765087
"27","2500_2855",14011,1.524334684
"28","2500_2900",14011,1.245493868
"29","2505_2850",27874,1.44309339
"30","2505_2855",14011,1.568751898
"31","2505_2900",27874,0.960966056
"32","2515_2810",27874,1.381772628
"33","2515_2815",27874,1.38129241
"34","2515_3100",221887,22.31217246
"35","2515_3105",27874,15.68796325
"36","2520_2800",14011,3.021051309
"37","2520_2805",27874,2.655187943
"38","2520_2810",27874,2.413422566
"39","2520_2815",27874,2.688314953
"40","2520_2820",27874,4.309008952
"41","2520_2840",27874,2.35442483
"42","2520_2845",27874,1.319978565
"43","2520_2850",27874,1.211732442
"44","2520_3100",110624,4.669125373
"45","2520_3105",27874,5.311415122
"46","2525_2750",27874,3.185618081
"47","2525_2755",14011,2.375477607
"48","2525_2800",14011,2.582555692
"49","2525_2805",27874,2.219844786
"50","2525_2810",27874,3.592285376
"51","2525_2815",27874,4.01994114
"52","2525_2835",27874,2.868141306
"53","2525_2840",55112,2.679883956
"54","2525_3055",221887,6.050355568
"55","2530_2710",27874,4.328871713
"56","2530_2755",27874,3.353178829
"57","2530_2800",27874,2.5115468
"58","2530_2805",55112,2.896963794
"59","2530_2810",27874,2.755375415
"60","2530_2815",55112,3.779830542
"61","2530_2835",27874,3.381028686
"62","2530_3055",221887,8.265695793
"63","2530_3100",110624,9.616914639
"64","2535_2705",27874,3.470858076
"65","2535_2710",55112,3.924386679
"66","2535_2715",27874,4.047398394
"67","2535_2745",27874,2.83725558
"68","2535_2755",27874,3.36595678
"69","2535_2800",27874,4.052125554
