Site;Sample;Trap;Rich;Cattle;Altitude;Canopy;Shrubs;Grass;Rock
G01;1;A;1;0;1959;90;20;0;10
G01;1;A;2;0;1959;90;20;0;10
G01;1;A;4;0;1959;90;20;0;10
G01;1;A;4;0;1959;90;20;0;10
G01;1;B;5;0;1959;90;20;0;10
G01;1;B;5;0;1959;90;20;0;10
G01;1;B;8;0;1959;90;20;0;10
G01;1;B;3;0;1959;90;20;0;10
G01;1;C;4;0;1959;90;20;0;10
G01;1;C;5;0;1959;90;20;0;10
G01;1;C;3;0;1959;90;20;0;10
G01;1;C;4;0;1959;90;20;0;10
G01;1;D;3;0;1959;90;20;0;10
G01;1;D;2;0;1959;90;20;0;10
G01;1;D;2;0;1959;90;20;0;10
G01;1;D;3;0;1959;90;20;0;10
G01;1;E;5;0;1959;90;20;0;10
G01;1;E;5;0;1959;90;20;0;10
G01;1;E;4;0;1959;90;20;0;10
G01;1;E;5;0;1959;90;20;0;10
G01;1;F;5;0;1959;90;20;0;10
G01;1;F;4;0;1959;90;20;0;10
G01;1;F;1;0;1959;90;20;0;10
G01;1;F;8;0;1959;90;20;0;10
G01;1;G;9;0;1959;90;20;0;10
G01;1;G;5;0;1959;90;20;0;10
G01;1;G;6;0;1959;90;20;0;10
G01;1;G;5;0;1959;90;20;0;10
G01;1;H;4;0;1959;90;20;0;10
G01;1;H;5;0;1959;90;20;0;10
G01;1;H;5;0;1959;90;20;0;10
G01;1;H;4;0;1959;90;20;0;10
G01;2;A;4;0;2135;30;30;40;10
G01;2;A;4;0;2135;30;30;40;10
G01;2;A;2;0;2135;30;30;40;10
G01;2;A;5;0;2135;30;30;40;10
G01;2;B;8;0;2135;30;30;40;10
G01;2;B;7;0;2135;30;30;40;10
G01;2;B;2;0;2135;30;30;40;10
G01;2;B;3;0;2135;30;30;40;10
G01;2;C;7;0;2135;30;30;40;10
G01;2;C;5;0;2135;30;30;40;10
G01;2;C;8;0;2135;30;30;40;10
G01;2;C;5;0;2135;30;30;40;10
G01;2;D;4;0;2135;30;30;40;10
G01;2;D;9;0;2135;30;30;40;10
G01;2;D;2;0;2135;30;30;40;10
G01;2;D;6;0;2135;30;30;40;10
G01;2;E;3;0;2135;30;30;40;10
G01;2;E;4;0;2135;30;30;40;10
G01;2;E;8;0;2135;30;30;40;10
G01;2;E;5;0;2135;30;30;40;10
G01;2;F;3;0;2135;30;30;40;10
