spiderid;Family;temperature;day0;sex;death;mass;Lifespan
Chan2A1;Chan2;C;28/03/2016;F;17/06/2016;NA;81
Chan2A3;Chan2;C;28/03/2016;M;22/10/2016;4.3;208
Chan2A5;Chan2;C;28/03/2016;F;03/12/2016;4.1;250
Chan2A7;Chan2;C;28/03/2016;M;20/10/2016;5;206
Chan2A9;Chan2;C;28/03/2016;F;11/09/2016;3.4;167
Chan2A11;Chan2;C;28/03/2016;M;13/10/2016;4.9;199
Chan2A13;Chan2;C;28/03/2016;M;16/09/2016;4.8;172
Chan2A15;Chan2;C;28/03/2016;M;16/09/2016;4.3;172
Chan2A17;Chan2;C;28/03/2016;F;24/06/2016;NA;88
Chan2A19;Chan2;C;28/03/2016;F;21/10/2016;4.8;207
Chan2A21;Chan2;C;28/03/2016;M;19/10/2016;4.1;205
Chan2A25;Chan2;C;28/03/2016;F;16/11/2016;5.2;233
Chan2A27;Chan2;C;28/03/2016;M;05/12/2016;4.2;252
Chan2A29;Chan2;C;28/03/2016;F;18/11/2016;4.2;235
Chan2A31;Chan2;C;28/03/2016;F;31/07/2016;3.9;125
Chan2A33;Chan2;C;28/03/2016;F;08/10/2016;5.2;194
Chan2A35;Chan2;C;28/03/2016;F;30/07/2016;4.9;124
Chan2A37;Chan2;C;28/03/2016;F;28/09/2016;4.7;184
Chan2A39;Chan2;C;28/03/2016;M;03/12/2016;2.8;250
Chan2A41;Chan2;C;28/03/2016;F;08/11/2016;4.3;225
Chan2A43;Chan2;C;28/03/2016;F;11/08/2016;3.4;136
Chan2A45;Chan2;C;28/03/2016;F;19/11/2016;3.6;236
Chan2A2;Chan2;H;28/03/2016;M;16/09/2016;2.2;172
Chan2A4;Chan2;H;28/03/2016;F;06/07/2016;NA;100
Chan2A6;Chan2;H;28/03/2016;F;NA;NA;#VALORE!
Chan2A12;Chan2;H;28/03/2016;F;24/06/2016;NA;88
Chan2A14;Chan2;H;28/03/2016;F;30/06/2016;NA;94
Chan2A16;Chan2;H;28/03/2016;F;22/08/2016;1.5;147
Chan2A18;Chan2;H;28/03/2016;F;25/06/2016;NA;89
Chan2A20;Chan2;H;28/03/2016;F;17/07/2016;1.6;111
Chan2A24;Chan2;H;28/03/2016;F;22/07/2016;2.3;116
Chan2A28;Chan2;H;28/03/2016;F;NA;NA;#VALORE!
Chan2A30;Chan2;H;28/03/2016;F;28/06/2016;NA;92
Chan2A32;Chan2;H;28/03/2016;F;09/07/2016;NA;103
Chan2A34;Chan2;H;28/03/2016;F;27/07/2016;2.4;121
Chan2A36;Chan2;H;28/03/2016;F;06/08/2016;2.6;131
Chan2A38;Chan2;H;28/03/2016;F;24/06/2016;NA;88
Chan2A40;Chan2;H;28/03/2016;F;01/07/2016;NA;95
Chan2A42;Chan2;H;28/03/2016;F;03/06/2016;NA;67
Chan2A44;Chan2;H;28/03/2016;F;NA;2.5;#VALORE!
Chan2A46;Chan2;H;28/03/2016;F;22/09/2016;2.1;178
Chan2A47;Chan2;H;28/03/2016;F;27/05/2016;NA;60
Chan2A48;Chan2;H;28/03/2016;F;15/06/2016;NA;79
Chan2A49;Chan2;H;28/03/2016;F;05/09/2016;NA;161
Chan2A50;Chan2;H;28/03/2016;F;18/10/2016;2.6;204
Chan5A2;Chan5;C;28/03/2016;M;NA;4.2;#VALORE!
Chan5A6;Chan5;C;28/03/2016;M;NA;4.3;#VALORE!
Chan5A8;Chan5;C;28/03/2016;F;10/12/2016;4.2;257
Chan5A10;Chan5;C;28/03/2016;F;06/12/2016;3.6;253
Chan5A12;Chan5;C;28/03/2016;F;30/11/2016;4.4;247
Chan5A14;Chan5;C;28/03/2016;F;06/12/2016;4.1;253
Chan5A16;Chan5;C;28/03/2016;M;28/10/2016;6.1;214
Chan5A18;Chan5;C;28/03/2016;F;16/10/2016;4.7;202
Chan5A20;Chan5;C;28/03/2016;F;17/11/2016;5.4;234
Chan5A22;Chan5;C;28/03/2016;F;10/08/2016;2.9;135
Chan5A24;Chan5;C;28/03/2016;M;16/10/2016;4.6;202
Chan5A26;Chan5;C;28/03/2016;M;12/12/2016;5.3;259
Chan5A28;Chan5;C;28/03/2016;M;25/10/2016;5.4;211
Chan5A30;Chan5;C;28/03/2016;F;27/11/2016;4.7;244
Chan5A32;Chan5;C;28/03/2016;F;25/10/2016;2.8;211
Chan5A33;Chan5;C;28/03/2016;M;NA;4.8;#VALORE!
Chan5A37;Chan5;C;28/03/2016;F;18/10/2016;3.7;204
Chan5A39;Chan5;C;28/03/2016;F;15/06/2016;NA;79
Chan5A41;Chan5;C;28/03/2016;F;02/07/2016;NA;96
Chan5A43;Chan5;C;28/03/2016;F;01/11/2016;5.6;218
Chan5A45;Chan5;C;28/03/2016;F;NA;4.6;#VALORE!
Chan5A47;Chan5;C;28/03/2016;M;10/10/2016;5.1;196
Chan5A49;Chan5;C;28/03/2016;F;NA;4.3;#VALORE!
Chan5A1;Chan5;H;28/03/2016;F;04/08/2016;3.7;129
Chan5A3;Chan5;H;28/03/2016;F;01/09/2016;4.5;157
Chan5A5;Chan5;H;28/03/2016;F;11/08/2016;2.9;136
Chan5A7;Chan5;H;28/03/2016;F;NA;3.7;#VALORE!
Chan5A9;Chan5;H;28/03/2016;F;01/06/2016;NA;65
Chan5A13;Chan5;H;28/03/2016;F;17/06/2016;NA;81
Chan5A15;Chan5;H;28/03/2016;F;13/07/2016;NA;107
Chan5A17;Chan5;H;28/03/2016;F;29/06/2016;NA;93
Chan5A19;Chan5;H;28/03/2016;F;31/07/2016;4.5;125
Chan5A21;Chan5;H;28/03/2016;F;NA;2.6;#VALORE!
Chan5A23;Chan5;H;28/03/2016;F;15/09/2016;2.9;171
Chan5A25;Chan5;H;28/03/2016;F;28/05/2016;NA;61
Chan5A27;Chan5;H;28/03/2016;F;18/09/2016;2.8;174
Chan5A29;Chan5;H;28/03/2016;F;13/08/2016;2.3;138
Chan5A31;Chan5;H;28/03/2016;F;06/06/2016;NA;70
Chan5A34;Chan5;H;28/03/2016;F;02/08/2016;2.3;127
Chan5A36;Chan5;H;28/03/2016;F;22/07/2016;2;116
Chan5A38;Chan5;H;28/03/2016;F;22/07/2016;2.5;116
Chan5A40;Chan5;H;28/03/2016;F;12/06/2016;NA;76
Chan5A42;Chan5;H;28/03/2016;F;06/06/2016;NA;70
Chan5A44;Chan5;H;28/03/2016;F;07/12/2016;2.2;254
Chan5A46;Chan5;H;28/03/2016;F;22/05/2016;NA;55
Chan5A48;Chan5;H;28/03/2016;F;03/07/2016;NA;97
AvoC1A3;AvoC1;C;04/04/2016;F;17/11/2016;5.1;227
AvoC1A5;AvoC1;C;04/04/2016;F;NA;7.2;#VALORE!
AvoC1A9;AvoC1;C;04/04/2016;M;NA;7.2;#VALORE!
AvoC1A13;AvoC1;C;04/04/2016;F;03/12/2016;5.9;243
AvoC1A19;AvoC1;C;04/04/2016;F;27/11/2016;6.2;237
AvoC1A27;AvoC1;C;04/04/2016;M;14/09/2016;6.4;163
AvoC1A31;AvoC1;C;04/04/2016;M;08/11/2016;6.2;218
AvoC1A33;AvoC1;C;04/04/2016;M;NA;7.4;#VALORE!
AvoC1A35;AvoC1;C;04/04/2016;M;27/01/2017;NA;298
AvoC1A37;AvoC1;C;04/04/2016;F;NA;6.7;#VALORE!
AvoC1A39;AvoC1;C;04/04/2016;F;30/01/2017;6.4;301
AvoC1A41;AvoC1;C;04/04/2016;M;13/12/2016;6.9;253
AvoC1A43;AvoC1;C;04/04/2016;M;30/07/2016;7.1;117
AvoC1A45;AvoC1;C;04/04/2016;F;21/12/2016;5.3;261
AvoC1A47;AvoC1;C;04/04/2016;M;15/12/2016;NA;255
AvoC1A48;AvoC1;C;04/04/2016;M;17/10/2016;5.1;196
AvoC1A2;AvoC1;H;04/04/2016;F;02/08/2016;2;120
AvoC1A8;AvoC1;H;04/04/2016;F;09/06/2016;NA;66
AvoC1A12;AvoC1;H;04/04/2016;F;25/07/2016;2.6;112
AvoC1A16;AvoC1;H;04/04/2016;F;NA;3.2;#VALORE!
AvoC1A18;AvoC1;H;04/04/2016;F;25/07/2016;3.3;112
AvoC1A20;AvoC1;H;04/04/2016;F;07/09/2016;4;156
AvoC1A24;AvoC1;H;04/04/2016;F;12/08/2016;3.9;130
AvoC1A26;AvoC1;H;04/04/2016;F;26/07/2016;2.9;113
AvoC1A28;AvoC1;H;04/04/2016;F;22/06/2016;NA;79
