;Site;Point;Spp;Count;Canopy;Shrub;Grass;Rock;Trees;Alt;precip;Tmax;Valle
3;S02;1;TP;3;50;10;40;0;84;1867;106;7.3;Susa
111;S02;2;TP;2;40;30;30;0;64;1937;106;7.3;Susa
141;S02;3;TP;3;40;20;50;0;54;2023;125;7.3;Susa
182;S02;4;TP;2;5;5;90;5;1;2084;125;7.3;Susa
383;S02;T2;TP;1;5;0;95;5;4;2153;125;5.5;Susa
508;S03;1;TP;0;40;5;0;40;62;1763;107;7.6;Susa
663;S03;2;TP;0;80;10;10;6.667;97.33;1896;107;7.6;Susa
676;S03;3;TP;0;70;10;10;10;86.5;1968;107;8.5;Susa
731;S03;4;TP;1;65;20;15;7.5;68.5;2037;129;8.5;Susa
761;S03;5;TP;2;20;20;60;0;11.5;2098;109;5.4;Susa
801;S03;6;TP;2;7.5;35;52.5;7.5;4;2191;109;5.4;Susa
828;S03;7;TP;1;5;25;50;20;3;2244;129;5.4;Susa
937;S04;1;TP;0;70;5;0;30;54;1725;104;8.1;Susa
951;S04;2;TP;0;75;10;0;20;72;1825;104;6.1;Susa
1002;S07;1;TP;1;50;10;40;0;66;1889;107;5.1;Susa
1029;S07;2;TP;0;80;10;10;10;66;1977;107;5.1;Susa
1060;S07;3;TP;0;90;5;10;5;80;2027;107;5.1;Susa
1100;S07;4;TP;0;70;70;0;20;10;2207;116;4.4;Susa
1124;S07;5;TP;0;50;20;20;5;49;2223;121;5.6;Susa
1158;S07;6;TP;0;30;30;30;10;20;2313;121;5.6;Susa
1223;S07;7;TP;0;10;5;60;20;16;2376;121;2.5;Susa
1281;S08;1;TP;0;70;5;20;5;73;1726;112;8.3;Susa
1357;S08;2;TP;2;30;0;70;0;42;1801;112;7;Susa
1384;S08;3;TP;1;10;0;90;0;60;1930;112;7;Susa
1403;S08;4;TP;1;30;5;70;5;39;1992;120;5.9;Susa
1638;S10;1;TP;1;50;5;10;10;114;2016;106;4.8;Susa
1674;S10;2;TP;2;10;10;70;20;210;2104;127;4.8;Susa
1700;S10;3;TP;0;10;80;5;10;1;2211;127;4.8;Susa
1934;S10;X1;TP;0;70;0;20;40;113;1906;106;7.8;Susa
2017;S11;1;TP;1;60;30;10;5;72;1918;104;7.9;Susa
2058;S11;2;TP;1;60;20;10;5;95;2014;104;7.9;Susa
2082;S11;3;TP;0;50;10;20;5;81;2096;104;7.9;Susa
2110;S11;4;TP;0;40;50;0;0;35;2199;121;5.2;Susa
2147;S11;5;TP;0;30;20;30;10;4;2277;121;5.2;Susa
2512;SX;1;TP;0;75;10;0;20;27;1789;96;7.3;Susa
2528;SX;2;TP;0;15;50;10;30;66;1870;110;7.3;Susa
2559;T13;1;TP;2;26.67;1.667;70;1.667;54;1840;101;7.4;Chisone
2596;T13;10;TP;0;1.667;16.67;53.33;30;0;2396;125;4.6;Chisone
2753;T13;2;TP;2;46.67;6.667;40;1.667;53.67;1850;101;7.4;Chisone
2772;T13;3;TP;0;70;5;16.67;0;153;2040;101;5.5;Chisone
2812;T13;4;TP;0;90;5;10;0;218;2098;107;5.5;Chisone
2851;T13;5;TP;0;90;5;5;0;132;2146;120;5.3;Chisone
2902;T13;6;TP;1;46.67;36.67;20;10;51;2206;120;5.3;Chisone
2934;T13;7;TP;1;30;55;15;10;35;2263;120;5.3;Chisone
2952;T13;8;TP;0;6.667;43.33;53.33;1.667;1.333;2309;123;3.7;Chisone
3015;T16;1;TP;4;60;0;17.5;0;110.8;1854;109;8.4;Chisone
3051;T16;2;TP;3;50;6.667;40;0;60.67;1967;109;7;Chisone
3089;T16;3;TP;5;20;10;66.67;3.333;32;2075;116;6;Chisone
3130;T16;4;TP;2;13.33;40;53.33;1.667;20.33;2199;116;6;Chisone
3170;T16;5;TP;0;20;60;20;0;48;2282;127;6;Chisone
3202;T16;6;TP;0;5;50;5;40;0;2363;127;4.8;Chisone
3230;T16;7;TP;0;5;50;36.67;1.667;0;2452;127;4.8;Chisone
3310;T17;2;TP;0;25;5;60;0;48;2031;116;6.6;Chisone
3351;T17;3;TP;0;10;5;90;0;21;2090;116;6.6;Chisone
3378;T22;1;TP;0;100;0;0;0;201;1863;107;6.3;Chisone
3584;T22;2;TP;0;40;10;50;5;43;1894;107;6.3;Chisone
3620;T22;3;TP;1;30;15;55;2.5;44;1963;107;6.3;Chisone
3656;T22;4;TP;1;30;5;70;5;28;2044;112;6.5;Chisone
3691;T22;5;TP;2;35;35;20;10;26;2115;112;6.5;Chisone
3717;T22;6;TP;1;10;40;40;10;13;2198;138;6.5;Chisone
3881;T24;1;TP;2;80;5;10;0;173;1717;102;8;Chisone
3903;T24;2;TP;2;90;10;10;0;106;1767;102;8;Chisone
3944;T24;3;TP;3;40;20;30;5;42;1838;113;8;Chisone
3975;T24;4;TP;0;5;40;50;10;4;1954;113;6.2;Chisone
