spp;Point;freq;Gin;Rod;Vacc
D;2578;0;0.3;0;0
D;2580;0;0.5;0;0
D;2582;0;0.5;0;0
D;2586;0;0.9;0;0
D;2588;0;0.7;0.2;0
D;2590;0;0.4;0.6;0
D;2592;1;0.4;0;0
D;2594;0;0.1;0.1;0
D;2710;1;0.6;0.3;0
D;2712;1;0.2;0.4;0
D;2714;1;0;0.5;0.1
D;2822;0;0;0;0
D;2824;0;0;0;0
D;2826;0;0.1;0;0
D;2836;0;0;0.1;0
D;2944;0;0.2;0;0
D;2946;0;0;0;0
D;2956;0;0.6;0.4;0
D;2958;0;0.2;0;0
D;3064;0;0.1;0;0
D;3066;0;0;0;0
D;3068;0;0;0;0
D;3188;0;0.1;0;0
D;3190;0;0.6;0;0
D;3194;0;0.5;0;0
D;3196;0;0.1;0;0
D;3198;0;0.6;0;0
D;3200;0;0.6;0.2;0
D;3202;0;0.4;0.5;0
D;3312;0;0.3;0;0
D;3314;0;0.5;0;0
D;3316;0;0.2;0;0
D;3320;0;0.1;0;0
D;3322;0;0.2;0.1;0.1
D;3324;0;0.2;0;0
D;3326;1;0.5;0.2;0.1
D;3328;0;0;0.1;0
D;3436;0;0.5;0;0
D;3438;0;0;0;0
D;3440;0;0;0;0
D;3442;0;0.2;0;0
D;3446;0;0.5;0;0
D;3448;1;0.4;0;0
D;3450;0;0.3;0;0
D;3558;0;0;0;0
D;3560;0;0.1;0;0
D;3562;0;0.1;0.3;0
D;3564;1;0.9;0;0
D;3568;0;0.5;0.1;0
D;3570;0;0.3;0;0.2
D;3572;1;0.5;0.4;0
D;3680;0;0.2;0;0
D;3682;0;0;0;0
D;3684;0;0.5;0;0
D;3686;0;0.9;0;0
D;3688;0;0.3;0;0
D;3690;0;0.1;0;0
D;3692;1;0.4;0;0
D;3694;0;0.2;0.1;0.1
D;3696;0;0.1;0;0
D;3804;0;0.2;0;0
D;3806;0;0;0;0
D;3808;0;0;0;0
D;3810;0;0.3;0;0
D;3812;0;0.7;0.2;0
D;3814;0;0.2;0.4;0
D;3816;0;0.8;0;0
D;3818;0;0.7;0;0
D;3820;0;0.5;0;0
D;3822;0;0;0.3;0.3
D;3928;0;0;0;0
D;3930;0;0;0;0
D;3932;0;0.4;0;0
D;3936;0;0.2;0;0
D;3938;0;0.5;0.2;0
D;3940;1;0.6;0.4;0.1
D;3942;1;0.4;0.4;0
D;3944;0;0.4;0;0
D;4052;0;0.1;0;0
D;4054;0;0;0;0
D;4232;0;0.1;0.4;0
D;4234;0;0.1;0.6;0
D;4236;0;0.3;0.3;0
D;4238;1;0;0.6;0.4
D;4240;1;0;0;0
D;4244;0;0;0;0
D;4248;0;0;0;0
D;4274;1;0.2;0.3;0
D;4276;0;0.4;0;0
D;4278;0;0.3;0.1;0
D;4280;0;0.1;0.2;0.2
D;4282;0;0;0.2;0
D;4308;0;0.4;0.2;0
D;4310;0;0.3;0;0.2
D;4312;0;0;0.4;0
D;4348;0;0;0.5;0.1
D;4350;0;0;0.6;0.2
D;4386;0;0;0.5;0.1
D;4388;0;0;0.4;0.2
D;4426;1;0.3;0.1;0
D;4428;0;0;0.4;0.1
D;4430;0;0;0.4;0.2
D;4464;0;0.2;0.2;0
D;4466;0;0;0.2;0.3
D;4468;0;0.2;0.2;0.2
D;4470;0;0;0.6;0
D;4506;0;0.5;0.1;0.2
D;4508;0;0;0;0.4
D;4544;1;0.4;0.2;0
D;4546;0;0;0.2;0
D;4548;0;0;0;0.1
D;4574;0;0.3;0;0
D;4576;0;0;0;0.4
D;4578;0;0;0;0.4
D;4602;0;0;0.4;0
D;4604;1;0;0.4;0
D;4606;0;0;0.2;0.1
D;4608;0;0;0;0.3
D;4632;0;0.2;0;0
D;4634;0;0.1;0;0
D;4636;0;0;0.3;0.3
D;4638;0;0;0;0.2
D;4664;0;0;0.4;0.2
D;4666;0;0;0.2;0.3
D;4668;0;0;0;0
