Data;Habitat;Inizio;Tasso
14/06/2018;campo;12.15;1
14/06/2018;campo;12.15;6
14/06/2018;campo;12.15;2
14/06/2018;campo;12.45;2
14/06/2018;campo;12.45;1
14/06/2018;campo;12.45;2
14/06/2018;campo;13.13;5
15/06/2018;parete;12.44;1
15/06/2018;parete;12.44;1
15/06/2018;parete;12.44;1
15/06/2018;parete;12.44;1
15/06/2018;parete;12.44;1
15/06/2018;parete;13.05;3
15/06/2018;parete;13.05;1
15/06/2018;parete;13.05;1
15/06/2018;parete;13.41;1
15/06/2018;parete;13.41;1
15/06/2018;parete;13.41;1
15/06/2018;parete;14.05;1
15/06/2018;parete;14.05;1
15/06/2018;parete;14.05;1
15/06/2018;parete;14.05;4
15/06/2018;parete;14.25;2
15/06/2018;parete;14.25;0
15/06/2018;parete;14.25;1
05/07/2018;parete;10.58;0
05/07/2018;parete;10.58;3
05/07/2018;parete;10.58;4
05/07/2018;parete;11.18;0
05/07/2018;parete;11.18;1
05/07/2018;parete;11.18;0
05/07/2018;parete;11.18;1
05/07/2018;parete;11.18;0
05/07/2018;parete;11.44;1
05/07/2018;parete;11.44;0
05/07/2018;parete;11.44;0
05/07/2018;parete;11.44;1
05/07/2018;parete;11.44;0
05/07/2018;parete;12.04;1
05/07/2018;parete;12.04;1
05/07/2018;parete;12.04;3
05/07/2018;parete;12.04;1
05/07/2018;parete;12.25;1
05/07/2018;parete;12.25;1
05/07/2018;parete;14.35;1
05/07/2018;parete;14.35;4
05/07/2018;parete;14.35;6
05/07/2018;parete;14.56;5
05/07/2018;parete;14.56;5
05/07/2018;parete;14.56;7
06/07/2018;campo;6.52;3
06/07/2018;campo;6.52;1
06/07/2018;campo;6.52;5
06/07/2018;campo;8.16;3
06/07/2018;campo;8.16;2
06/07/2018;campo;8.16;2
06/07/2018;campo;8.41;7
06/07/2018;campo;8.41;10
06/07/2018;campo;9.02;1
06/07/2018;campo;9.02;6
06/07/2018;campo;9.02;1
06/07/2018;campo;10.42;5
06/07/2018;campo;10.42;8
06/07/2018;campo;11.03;9
06/07/2018;campo;11.03;6
22/07/2018;parete;10.58;3
22/07/2018;parete;10.58;2
22/07/2018;parete;10.58;0
22/07/2018;parete;10.58;4
22/07/2018;parete;11.18;3
22/07/2018;parete;11.18;13
22/07/2018;parete;11.18;6
22/07/2018;parete;11.18;5
22/07/2018;parete;11.38;2
22/07/2018;parete;11.38;8
22/07/2018;parete;11.38;1
22/07/2018;parete;11.38;3
22/07/2018;parete;11.58;4
22/07/2018;parete;11.58;4
22/07/2018;parete;11.58;18
22/07/2018;parete;12.18;6
22/07/2018;parete;12.18;5
22/07/2018;parete;12.18;3
22/07/2018;parete;12.38;6
22/07/2018;parete;12.38;4
22/07/2018;parete;12.38;2
22/07/2018;parete;12.58;10
22/07/2018;parete;12.58;10
22/07/2018;parete;12.58;1
22/07/2018;campo;14.24;5
22/07/2018;campo;14.24;6
22/07/2018;campo;14.24;13
22/07/2018;campo;14.47;8
22/07/2018;campo;15.07;8
22/07/2018;campo;15.27;20
22/07/2018;campo;15.27;12
22/07/2018;campo;15.27;7
22/07/2018;campo;15.27;3
