Point;n;Rod_pres;alt
76;11;0;2649
89;11;1.000000001;2291
111;11;5.000000005;2368
113;11;0;2525
115;11;0;2667
128;11;6.000000006;2223
130;11;2.000000002;2300
133;11;0;2402
151;11;0;2281
171;11;0;2211
188;11;0;1999
191;11;2.000000002;2133
195;11;4.000000004;2234
197;11;2.000000002;2302
214;11;1.000000001;2135
215;11;0;2166
216;11;1.000000001;2215
234;11;0;2029
238;11;0;2166
240;11;0;2278
243;11;1.000000001;2389
286;11;1.000000001;2284
309;11;0;2293
332;11;1.000000001;2316
355;11;0;2115
357;11;0;2221
361;11;0;2384
386;11;4.000000004;2340
404;11;0;1899
407;11;0;2045
410;11;0;2274
429;11;0;1865
432;11;0;1954
437;11;0;2215
439;11;2.000000002;2344
441;11;0;2565
456;11;0;1945
461;11;0;2136
463;11;0;2229
480;11;0;1830
484;11;0;2000
489;11;0;2327
492;11;0;2455
505;11;1.000000001;1839
507;11;0;1917
509;11;1.000000001;2030
512;11;0;2234
515;11;0;2337
529;11;0;1873
531;11;0;1902
534;11;0;2159
560;11;0;2233
562;11;1.000000001;2323
583;11;0;2285
585;11;0;2334
603;11;1.000000001;2263
607;11;0;2385
622;11;2.000000002;2109
648;9;1.999999998;2312
654;11;0;2409
670;11;5.000000005;2182
691;11;0;1954
697;11;2.000000002;2347
699;11;0;2526
712;11;0;2108
717;11;0;2014
720;11;2.000000002;2270
722;11;0;2397
740;11;0;1931
744;11;4.000000004;2208
748;11;0;2500
766;11;5.000000005;2043
769;11;1.000000001;2301
790;11;2.000000002;2103
792;11;3.000000003;2268
810;11;3.000000003;1979
812;11;6.999999996;2154
815;11;0;2446
816;11;1.000000001;2407
818;11;0;2570
835;11;4.000000004;2351
837;11;0;2520
853;11;2.000000002;2185
890;11;3.000000003;2034
952;11;2.000000002;2244
954;11;1.000000001;2255
1001;11;0;2569
1017;11;0;2115
1024;11;0;2539
1028;11;0;2704
1044;11;0;2248
1047;11;0;2409
1050;11;0;2603
1072;11;0;2472
1075;11;0;2592
1098;11;0;2545
