TreeRich;Hage;Hprice;DistUrb;PlotVol;ManFee
5;-0.63;-1.345069507;9412.9;;
10;0.042133663;0.639137463;9298.82;0.797977703;-0.173554111
7;0.871767544;-0.444160445;10701.56;0.981069914;-0.134335723
11;-0.443452993;-0.562834428;6308.16;0.005810291;0.74
5;-1.213583068;0.869777043;12828.91;;
6;0.042133663;-1.497596407;13002.53;-1.103480214;
12;2.102775697;0.710632838;4882.44;;-0.173554111
8;0.5217938;-0.379515757;4371.75;0.248836314;-0.874954774
13;-0.63;-1.044384385;7047.11;0.753892769;-0.403224567
0;-0.63;-0.535569502;10462.08;-1.175557558;0.287330779
10;0.178056385;-1.443633027;8803.98;-0.598535688;-0.874954774
7;0.042133663;-0.442944183;12141.4;0.32420836;0.74
5;-0.63;0.949708839;5244.51;-0.174112271;0.507669106
13;-1.213583068;-0.109731487;11373.73;;0.52096812
13;0.042133663;-0.485116346;10256.21;1.714189709;0.507669106
8;1.01489508;-0.22744637;13425.85;;
4;-0.10642796;-0.326141056;12682.69;;
6;-0.824277361;-0.226063285;14394.1;;
10;-0.443452993;0.024263914;2059.68;;
5;-0.10642796;-0.094362735;12256.6;;
8;-0.10642796;-0.225458437;9468.73;0.981069914;0.722974591
3;-0.824277361;1.092192688;11125.78;-2.58;1.965555496
4;0.945493321;0.797119837;8276.89;-1.837280963;-0.243247618
5;-1.020820172;-0.070231346;12970.53;-0.790440118;
0;-0.443452993;-1.661411776;15130.86;;
6;1.08042135;-1.326953885;15484.09;;
7;0.042133663;-0.638385622;10239.59;-0.86;-0.874954774
2;0.5217938;-1.458375536;13762.51;-0.932868187;-0.10915163
7;-0.63;-1.129636764;10205.29;-1.229328147;-2.594930826
10;-0.10642796;-0.233420105;6302.92;0.248836314;
10;-0.10642796;0.381774235;1886.12;;
4;1.01489508;0.068704455;10399.04;0.170861602;
1;2.224814496;1.207701451;3386.73;;
13;-0.824277361;-0.455221072;6882.69;-0.448798397;
7;-1.213583068;1.218834876;12199.54;-1.579885962;1.011967384
8;-0.63;0.402869016;14368.35;;
8;0.416658331;-0.505443558;4535.6;1.21392266;0.634812272
14;-0.10642796;3.723835317;11061.67489;-0.155336837;-0.403224567
10;-0.824277361;-0.460953378;9945.080889;0.981069914;0.059790934
8;0.709169699;0.63845475;9537.323764;-0.598535688;-0.874954774
19;-1.213583068;1.268268018;10637.45255;-0.270973978;1.477462542
2;0.178056385;0.052672952;10827.48457;;-0.243247618
10;0.416658331;-0.191832733;11049.05554;;
3;0.416658331;0.624202383;6295.97914;;-0.727090217
14;0.871767544;-1.758391029;13440.4465;0.86;
