Kcal;Hab;Date;Rain;Temp;Year
2.807;f;19;7.71;7.2;1
1.679;f;19;7.71;7.2;1
3.921;f;19;7.71;7.2;1
2.97;f;19;7.71;7.2;1
2.448;f;19;7.71;7.2;1
1.742;f;19;7.71;7.2;1
5.863;f;19;7.71;7.2;1
12.212;f;19;7.71;7.2;1
2.382;f;19;7.71;7.2;1
1.036;f;26;0.07;12;1
0;f;26;0.07;12;1
1.42;f;26;0.07;12;1
1.094;f;26;0.07;12;1
0.834;f;26;0.07;12;1
0.388;f;26;0.07;12;1
0;f;26;0.07;12;1
1.189;f;26;0.07;12;1
1.239;f;26;0.07;12;1
2.719;f;26;0.07;12;1
2.348;f;33;4.16;9;1
1.878;f;33;4.16;9;1
0.194;f;33;4.16;9;1
1.94;f;33;4.16;9;1
1.874;f;33;4.16;9;1
2.878;f;33;4.16;9;1
0;f;33;4.16;9;1
2.164;f;33;4.16;9;1
1.016;f;33;4.16;9;1
1.102;f;33;4.16;9;1
2.849;f;40;0.11;15;1
2.707;f;40;0.11;15;1
0.834;f;40;0.11;15;1
2.179;f;40;0.11;15;1
0.834;f;40;0.11;15;1
1.589;f;40;0.11;15;1
1.478;f;40;0.11;15;1
2.51;f;40;0.11;15;1
6.614;f;75;4.34;14.5;1
11.46;f;75;4.34;14.5;1
12.453;f;75;4.34;14.5;1
2.858;f;75;4.34;14.5;1
5.25;f;75;4.34;14.5;1
1.908;f;75;4.34;14.5;1
5.548;f;75;4.34;14.5;1
2.188;f;75;4.34;14.5;1
2.646;f;88;6.9;15;1
1.557;f;88;6.9;15;1
6.712;f;88;6.9;15;1
6.057;f;88;6.9;15;1
2.506;f;88;6.9;15;1
2.571;f;88;6.9;15;1
2.125;f;53;0;14.8;1
4.242;f;53;0;14.8;1
1.036;f;53;0;14.8;1
1.23;f;53;0;14.8;1
2.526;f;53;0;14.8;1
0;f;53;0;14.8;1
2.414;f;53;0;14.8;1
0.648;f;53;0;14.8;1
1.152;f;53;0;14.8;1
1.337;f;53;0;14.8;1
0;f;60;0;16.5;1
0.454;f;60;0;16.5;1
0.582;f;60;0;16.5;1
0;f;60;0;16.5;1
0.454;f;60;0;16.5;1
0;f;60;0;16.5;1
0.64;f;60;0;16.5;1
0;f;60;0;16.5;1
0;f;60;0;16.5;1
0.883;f;60;0;16.5;1
1.714;w;26;0.07;11.8;1
0.794;w;26;0.07;11.8;1
2.938;w;26;0.07;11.8;1
2.667;w;26;0.07;11.8;1
2.328;w;26;0.07;11.8;1
1.829;w;26;0.07;11.8;1
1.986;w;26;0.07;11.8;1
6.232;w;26;0.07;11.8;1
6.14;w;26;0.07;11.8;1
1.419;w;26;0.07;11.8;1
3.584;w;33;4.16;9.2;1
1.123;w;33;4.16;9.2;1
0.57;w;33;4.16;9.2;1
0.776;w;33;4.16;9.2;1
2.172;w;33;4.16;9.2;1
1.016;w;33;4.16;9.2;1
1.78;w;33;4.16;9.2;1
1.132;w;33;4.16;9.2;1
1.958;w;33;4.16;9.2;1
3.226;w;33;4.16;9.2;1
3.861;w;40;0.11;14.6;1
4.236;w;40;0.11;14.6;1
4.447;w;40;0.11;14.6;1
0.776;w;40;0.11;14.6;1
1.416;w;40;0.11;14.6;1
2.923;w;40;0.11;14.6;1
2.694;w;40;0.11;14.6;1
1.812;w;40;0.11;14.6;1
0.058;w;40;0.11;14.6;1
4.499;w;40;0.11;14.6;1
2.972;w;46;2.89;10.2;1
6.173;w;46;2.89;10.2;1
3.03;w;46;2.89;10.2;1
5.429;w;46;2.89;10.2;1
4.578;w;46;2.89;10.2;1
6.334;w;46;2.89;10.2;1
3.846;w;46;2.89;10.2;1
11.119;w;46;2.89;10.2;1
8.32;w;46;2.89;10.2;1
11.039;w;46;2.89;10.2;1
8.081;w;54;0.01;17.4;1
4.437;w;54;0.01;17.4;1
4.834;w;54;0.01;17.4;1
4.804;w;54;0.01;17.4;1
3.054;w;54;0.01;17.4;1
3.88;w;54;0.01;17.4;1
2.819;w;54;0.01;17.4;1
6.301;w;54;0.01;17.4;1
3.546;w;54;0.01;17.4;1
1.474;w;54;0.01;17.4;1
1.709;w;68;7.62;12;1
5.112;w;68;7.62;12;1
3.057;w;68;7.62;12;1
6.208;w;68;7.62;12;1
2.691;w;68;7.62;12;1
4.017;w;68;7.62;12;1
1.618;w;68;7.62;12;1
5.435;w;68;7.62;12;1
4.008;w;81;0.94;15.2;1
2.44;w;81;0.94;15.2;1
1.152;w;81;0.94;15.2;1
0.97;w;81;0.94;15.2;1
1.664;w;81;0.94;15.2;1
2.64;w;81;0.94;15.2;1
1.046;w;81;0.94;15.2;1
1.866;w;81;0.94;15.2;1
1.084;w;95;3.84;23;1
6.177;w;95;3.84;23;1
4.428;w;95;3.84;23;1
1.838;w;95;3.84;23;1
4.761;w;95;3.84;23;1
4.236;w;95;3.84;23;1
3.851;w;95;3.84;23;1
3.929;w;95;3.84;23;1
0.252;w;110;12.83;18;1
0.346;w;110;12.83;18;1
0.816;w;110;12.83;18;1
1.16;w;110;12.83;18;1
0.656;w;110;12.83;18;1
1.433;w;110;12.83;18;1
1.876;w;39;0.27;12.4;1
1.024;w;39;0.27;12.4;1
2.766;w;39;0.27;12.4;1
1.008;w;39;0.27;12.4;1
0.851;w;39;0.27;12.4;1
1.164;w;39;0.27;12.4;1
1.404;w;39;0.27;12.4;1
0.194;w;39;0.27;12.4;1
0.194;w;39;0.27;12.4;1
1.008;w;39;0.27;12.4;1
2.179;w;62;0;10.6;1
2.307;w;62;0;10.6;1
2.85;w;62;0;10.6;1
2.68;w;62;0;10.6;1
3.108;w;62;0;10.6;1
3.467;w;62;0;10.6;1
1.61;w;62;0;10.6;1
2.138;w;62;0;10.6;1
2.394;w;62;0;10.6;1
3.242;w;62;0;10.6;1
1.028;w;14;0.16;9;2
1.715;w;14;0.16;9;2
4.035;w;14;0.16;9;2
2.809;w;14;0.16;9;2
5.368;w;14;0.16;9;2
8.709;w;22;0;12.5;2
7.225;w;22;0;12.5;2
5.604;w;22;0;12.5;2
12.364;w;22;0;12.5;2
9.873;w;22;0;12.5;2
4.052;w;28;6.94;11;2
6.353;w;28;6.94;11;2
8.288;w;28;6.94;11;2
12.134;w;28;6.94;11;2
17.754;w;28;6.94;11;2
17.458;w;28;6.94;11;2
4.707;w;35;0;10;2
19.433;w;35;0;10;2
6.288;w;35;0;10;2
6.77;w;35;0;10;2
6.973;w;35;0;10;2
3.034;w;35;0;10;2
15.605;w;41;4.78;13;2
14.714;w;41;4.78;13;2
6.704;w;41;4.78;13;2
7.195;w;41;4.78;13;2
5.467;w;41;4.78;13;2
7.8;w;41;4.78;13;2
0.958;w;49;0;17.5;2
2.506;w;49;0;17.5;2
3.232;w;49;0;17.5;2
2.13;w;49;0;17.5;2
7.353;w;49;0;17.5;2
3.995;w;49;0;17.5;2
1.482;w;59;8.29;15;2
6.676;w;59;8.29;15;2
6.815;w;59;8.29;15;2
7.682;w;59;8.29;15;2
6.29;w;59;8.29;15;2
9.691;w;59;8.29;15;2
7.124;w;69;6.23;19.5;2
3.362;w;69;6.23;19.5;2
4.653;w;69;6.23;19.5;2
6.692;w;69;6.23;19.5;2
7.2;w;69;6.23;19.5;2
4.853;w;69;6.23;19.5;2
0.62;w;80;0;14.5;2
0.545;w;80;0;14.5;2
0.971;w;80;0;14.5;2
0.484;w;80;0;14.5;2
1.395;w;80;0;14.5;2
1.404;w;80;0;14.5;2
2.577;f;14;0;8;2
4.784;f;14;0;8;2
5.511;f;14;0;8;2
8.233;f;14;0;8;2
3.435;f;14;0;8;2
0.058;f;22;0;13;2
14.459;f;22;0;13;2
1.864;f;22;0;13;2
2.613;f;22;0;13;2
9;f;22;0;13;2
8.377;f;28;6.94;12;2
3.129;f;28;6.94;12;2
9.144;f;28;6.94;12;2
4.523;f;28;6.94;12;2
6.767;f;28;6.94;12;2
4.441;f;28;6.94;12;2
6.676;f;35;0;11.5;2
4.515;f;35;0;11.5;2
1.972;f;35;0;11.5;2
2.568;f;35;0;11.5;2
3.332;f;35;0;11.5;2
4.313;f;35;0;11.5;2
3.987;f;41;4.78;11.5;2
4.423;f;41;4.78;11.5;2
5.83;f;41;4.78;11.5;2
5.71;f;41;4.78;11.5;2
5.201;f;41;4.78;11.5;2
8.88;f;41;4.78;11.5;2
1.354;f;49;0;20;2
0.446;f;49;0;20;2
0.194;f;49;0;20;2
0;f;49;0;20;2
0.454;f;49;0;20;2
0.194;f;49;0;20;2
1.878;f;59;8.29;15;2
6.266;f;59;8.29;15;2
1.822;f;59;8.29;15;2
9.171;f;59;8.29;15;2
1.589;f;59;8.29;15;2
3.244;f;59;8.29;15;2
6.564;f;69;6.23;19;2
10.375;f;69;6.23;19;2
8.929;f;69;6.23;19;2
5.211;f;69;6.23;19;2
2.411;f;69;6.23;19;2
3.393;f;69;6.23;19;2
2.467;f;80;0;15;2
0;f;80;0;15;2
0.194;f;80;0;15;2
0.454;f;80;0;15;2
0.582;f;80;0;15;2
0;f;80;0;15;2
3.396;f;13;5.13;5;3
5.715;f;13;5.13;5;3
5.212;f;13;5.13;5;3
2.004;f;13;5.13;5;3
1.356;f;13;5.13;5;3
1.512;f;13;5.13;5;3
3.542;f;23;0;10.5;3
3.844;f;23;0;10.5;3
12.448;f;23;0;10.5;3
5.249;f;23;0;10.5;3
5.652;f;23;0;10.5;3
6.322;f;23;0;10.5;3
3.866;f;28;2.85;8.5;3
3.017;f;28;2.85;8.5;3
1.103;f;28;2.85;8.5;3
6.145;f;28;2.85;8.5;3
2.699;f;28;2.85;8.5;3
4.265;f;28;2.85;8.5;3
2.383;f;37;0.01;10.5;3
3.971;f;37;0.01;10.5;3
2.345;f;37;0.01;10.5;3
1.532;f;37;0.01;10.5;3
1.986;f;37;0.01;10.5;3
2.658;f;37;0.01;10.5;3
4.026;f;41;7.71;14;3
1.842;f;41;7.71;14;3
3.34;f;41;7.71;14;3
3.176;f;41;7.71;14;3
2.748;f;41;7.71;14;3
8.583;f;41;7.71;14;3
1.066;f;48;0.67;12.5;3
2.953;f;48;0.67;12.5;3
3.285;f;48;0.67;12.5;3
2.14;f;48;0.67;12.5;3
3.266;f;48;0.67;12.5;3
4.861;f;48;0.67;12.5;3
1.931;f;63;5.3;14.5;3
0.842;f;63;5.3;14.5;3
0.698;f;63;5.3;14.5;3
6.642;f;63;5.3;14.5;3
6.372;f;63;5.3;14.5;3
6.169;f;63;5.3;14.5;3
4.553;w;13;5.13;6;3
4.48;w;13;5.13;6;3
4.899;w;13;5.13;6;3
18.723;w;13;5.13;6;3
7.682;w;13;5.13;6;3
6.85;w;13;5.13;6;3
3.945;w;23;0;10.6;3
7.137;w;23;0;10.6;3
3.93;w;23;0;10.6;3
14.594;w;23;0;10.6;3
5.261;w;23;0;10.6;3
11.521;w;23;0;10.6;3
9.356;w;28;2.85;11.25;3
16.404;w;28;2.85;11.25;3
18.809;w;28;2.85;11.25;3
12.715;w;28;2.85;11.25;3
11.674;w;28;2.85;11.25;3
17.662;w;28;2.85;11.25;3
4.704;w;37;0.01;10.2;3
5.561;w;37;0.01;10.2;3
5.994;w;37;0.01;10.2;3
2.058;w;37;0.01;10.2;3
2.398;w;37;0.01;10.2;3
12.165;w;37;0.01;10.2;3
7.004;w;41;7.71;14;3
4.111;w;41;7.71;14;3
2.483;w;41;7.71;14;3
4.19;w;41;7.71;14;3
3.595;w;41;7.71;14;3
